date,week,weekday,day,work_hours
2024-01-16,3,2,workday,8
2024-01-17,3,3,workday,8
2024-01-18,3,4,workday,8
2024-01-19,3,5,workday,8
2024-01-20,3,6,day_off,0
2024-01-21,4,7,day_off,0
2024-01-22,4,1,workday,8
2024-01-23,4,2,workday,8
2024-01-24,4,3,workday,8
2024-01-25,4,4,workday,8
2024-01-26,4,5,workday,8
2024-01-27,4,6,day_off,0
2024-01-28,5,7,day_off,0
2024-01-29,5,1,workday,8
2024-01-30,5,2,workday,8
2024-01-31,5,3,workday,8
2024-02-01,5,4,workday,8
2024-02-02,5,5,workday,8
2024-02-03,5,6,day_off,0
2024-02-04,6,7,day_off,0
2024-02-05,6,1,workday,8
2024-02-06,6,2,workday,8
2024-02-07,6,3,workday,8
2024-02-08,6,4,workday,8
2024-02-09,6,5,workday,8
2024-02-10,6,6,day_off,0
2024-02-11,7,7,day_off,0
2024-02-12,7,1,workday,8
2024-02-13,7,2,workday,8
2024-02-14,7,3,workday,8
2024-02-15,7,4,workday,8
2024-02-16,7,5,workday,8
2024-02-17,7,6,day_off,0
2024-02-18,8,7,day_off,0
2024-02-19,8,1,workday,8
2024-02-20,8,2,workday,8
2024-02-21,8,3,workday,8
2024-02-22,8,4,workday,8
2024-02-23,8,5,workday,8
2024-02-24,8,6,day_off,0
2024-02-25,9,7,day_off,0
2024-02-26,9,1,workday,8
2024-02-27,9,2,workday,8
2024-02-28,9,3,workday,8
2024-02-29,9,4,workday,8
2024-03-01,9,5,workday,8
2024-03-02,9,6,day_off,0
2024-03-03,10,7,day_off,0
2024-03-04,10,1,workday,8
2024-03-05,10,2,workday,8
2024-03-06,10,3,workday,8
2024-03-07,10,4,workday,8
2024-03-08,10,5,workday,8
2024-03-09,10,6,day_off,0
2024-03-10,11,7,day_off,0
2024-03-11,11,1,workday,8
2024-03-12,11,2,workday,8
2024-03-13,11,3,workday,8
2024-03-14,11,4,workday,8
2024-03-15,11,5,workday,8
2024-03-16,11,6,day_off,0
2024-03-17,12,7,day_off,0
2024-03-18,12,1,workday,8
2024-03-19,12,2,workday,8
2024-03-20,12,3,workday,8
2024-03-21,12,4,workday,8
2024-03-22,12,5,workday,8
2024-03-23,12,6,day_off,0
2024-03-24,13,7,day_off,0
2024-03-25,13,1,workday,8
2024-03-26,13,2,workday,8
2024-03-27,13,3,workday,8
2024-03-28,13,4,workday,8
2024-03-29,13,5,workday,8
2024-03-30,13,6,day_off,0
2024-03-31,14,7,day_off,0
2024-04-01,14,1,workday,8
2024-04-02,14,2,workday,8
2024-04-03,14,3,workday,8
2024-04-04,14,4,workday,8
2024-04-05,14,5,workday,8
2024-04-06,14,6,day_off,0
2024-04-07,15,7,day_off,0
2024-04-08,15,1,workday,8
2024-04-09,15,2,workday,8
2024-04-10,15,3,workday,8
2024-04-11,15,4,workday,8
2024-04-12,15,5,workday,8
2024-04-13,15,6,day_off,0
2024-04-14,16,7,day_off,0
2024-04-15,16,1,workday,8
2024-04-16,16,2,workday,8
2024-04-17,16,3,workday,8
2024-04-18,16,4,workday,8
2024-04-19,16,5,workday,8
